time,PTJ,border,TJRE,IB pier,Silver Strand,HdC
2025-03-17 07:00:00,-3.4866626000242724,-3.579967372378698,-4.569958854623555,-4.519756300576113,-4.3026026614832285,-4.560349819349053
2025-03-17 08:00:00,-3.499074852739396,-3.938977295588726,-3.190679058736365,-4.53581834956089,-4.305030396133867,-4.592031607402698
2025-03-17 09:00:00,-3.613030497769262,-4.362789260620721,-3.4736398109781024,-4.552759051238989,-4.305367747787388,-4.520504242197224
2025-03-17 10:00:00,-3.8390164182171547,-4.565069980852681,-3.442511934809911,-4.568472535904272,-4.304349058822314,-4.527326617199381
2025-03-17 11:00:00,-4.105226231797769,-4.23149354038953,-3.3603230862167544,-4.58134710995396,-4.3058292149876305,-4.560360727555543
2025-03-17 12:00:00,-4.328176825824992,-3.794549613846814,-3.2043879543444325,-4.587822035055356,-4.319066684125751,-4.584467500585132
2025-03-17 13:00:00,-4.48739565942469,-3.8483741256408477,-2.930948914579564,-4.588933507648504,-4.339224676291995,-4.522995846637863
2025-03-17 14:00:00,-4.370103700544762,-3.8618015132270136,-2.7096791001633447,-4.586993925437153,-4.356332248269521,-4.4951055073685
2025-03-17 15:00:00,-4.0933798622261275,-3.8599690717303865,-2.6210211635470855,-4.584657408509222,-4.369084486312432,-4.4907598829569055
2025-03-17 16:00:00,-4.055918458917127,-3.8280101216247466,-2.974641274119314,-4.581876680655884,-4.3823143832313844,-4.476275723687301
2025-03-17 17:00:00,-4.062480953876056,-3.7973021008329813,-3.5139141573300345,-4.583081568476897,-4.402124637538109,-4.470229900311239
2025-03-17 18:00:00,-4.054686919370408,-3.7420866529202623,-3.983461746775578,-4.596890035649083,-4.42240822659301,-4.468830763795802
2025-03-17 19:00:00,-4.0269095837280995,-3.5921394892423217,-4.255662747264665,-4.622593840357974,-4.446928939881659,-4.468100685798283
2025-03-17 20:00:00,-3.9901418786542644,-3.465367523484336,-2.575174475839735,-4.646119189602945,-4.47240458119183,-4.473530615636834
2025-03-17 21:00:00,-3.9279880143163206,-3.568850523893937,-2.746827153536491,-4.665720063218594,-4.514318329900285,-4.479026439264449
2025-03-17 22:00:00,-3.799802346480152,-3.8573760341608416,-2.742667780532419,-4.672575123153778,-4.557158504954357,-4.497783116504052
2025-03-17 23:00:00,-3.68915442045082,-3.9549022824513136,-2.576026667406431,-4.671274792520852,-4.583819398088433,-4.508221404319227
2025-03-18 00:00:00,-3.71419344118742,-3.394880434199166,-2.529073803127535,-4.63913511653156,-4.608574293182675,-4.504425048127967
2025-03-18 01:00:00,-3.5476380145834425,-3.24279290733737,-2.397674131568687,-4.61428978297986,-4.61583430288662,-4.496286649036335
2025-03-18 02:00:00,-3.565540909042896,-3.2513489657427863,-2.5880178984213424,-4.614364803069263,-4.619437641349635,-4.484043281525653
2025-03-18 03:00:00,-3.346632980592644,-3.1739861492555175,-3.239485347006204,-4.610739658716425,-4.617684183861582,-4.477779071943809
2025-03-18 04:00:00,-3.2224224414893117,-3.079951033964275,-4.133737600409829,-4.614669599789836,-4.612602463646426,-4.500723942863639
2025-03-18 05:00:00,-3.1644691929972044,-2.9622747855824496,-4.7335858819343075,-4.624719322145499,-4.610194068572157,-4.508705898563355
2025-03-18 06:00:00,-3.180026707786718,-3.287663094881906,-4.766044200842256,-4.637475660950432,-4.612866857972279,-4.526449795565541
2025-03-18 07:00:00,-3.0977363989407634,-4.165677783834067,-4.7460066666563145,-4.6366597512214405,-4.623975228344235,-4.518434542503289
2025-03-18 08:00:00,-3.475166547100005,-4.647948034245865,-3.3416786667510343,-4.616628184344102,-4.628322489283787,-4.508501540130292
2025-03-18 09:00:00,-4.292589033587234,-4.693646260806449,-2.0758316353005055,-4.623861846885741,-4.609109307987768,-4.506874592104126
2025-03-18 10:00:00,-4.659662250167705,-2.615395670959644,-1.7671013795369446,-4.632305248761832,-4.576318815579339,-4.501611161209949
2025-03-18 11:00:00,-2.968228591893717,-2.170470341686614,-1.5856710031847265,-4.633678262450692,-4.560989014382438,-4.4946527214557195
2025-03-18 12:00:00,-2.3455361767821805,-1.978780083839452,-1.55586411672206,-4.638801177144133,-4.546503064908904,-4.489077534348643
2025-03-18 13:00:00,-2.1162204367193875,-1.976319292919101,-1.6731742203750144,-4.634512555910081,-4.539124190272491,-4.492308170471679
2025-03-18 14:00:00,-2.111984432968912,-2.1164469363954246,-1.8819560208550967,-4.618577325576943,-4.538653278357738,-4.502850083597227
2025-03-18 15:00:00,-2.1916749624026486,-2.2786367876264393,-2.0843078572795894,-4.604917375310587,-4.543866195948567,-4.5273516519482
2025-03-18 16:00:00,-2.3413597594956443,-2.505149357057111,-2.4872328334342084,-4.594965777286316,-4.552192269579809,-4.5535508117247865
2025-03-18 17:00:00,-2.527103911373552,-2.728364047395185,-3.176043905584025,-4.589740140202926,-4.5640405003587805,-4.580970048566224
2025-03-18 18:00:00,-2.73105502376064,-3.1493352336725713,-3.674604306588084,-4.587887848055439,-4.575872306562589,-4.656919296843599
2025-03-18 19:00:00,-3.0344849069128412,-3.6311306703817485,-2.980943399266207,-4.589065082318145,-4.593746017333902,-4.682415393930613
2025-03-18 20:00:00,-3.4623401472196624,-3.983172381801385,-2.1586595445479326,-4.592376062106363,-4.615984955974003,-4.727895445348993
2025-03-18 21:00:00,-3.8888211093929006,-3.3120107170564395,-1.9356087586873174,-4.5984342697568215,-4.640219755335175,-4.75659310938573
2025-03-18 22:00:00,-3.6410021395982546,-2.710692418049776,-1.6958996939555098,-4.614705254134744,-4.666992468173633,-4.789089370018201
2025-03-18 23:00:00,-2.985143546526749,-2.3963776611698884,-1.7125342626399929,-4.643693842764784,-4.6903214531747315,-4.825816490985609
2025-03-19 00:00:00,-2.6393296304300975,-2.1795717644286876,-1.8187362189821292,-4.676553428218924,-4.721511141325165,-4.841466090383323
2025-03-19 01:00:00,-2.357331598906621,-2.1959945910804683,-2.1000888879284676,-4.7135868480152965,-4.7550887739721865,-4.856473965785763
2025-03-19 02:00:00,-2.300956317505265,-2.356486246263131,-2.6066186602657324,-4.755173103225005,-4.782178360801548,-4.846469750798991
2025-03-19 03:00:00,-2.3658679095035304,-2.6405526939436603,-3.5252895883764714,-4.795932308195153,-4.804651027702186,-4.844293750322705
2025-03-19 04:00:00,-2.5707915749843337,-3.0674692136938253,-4.472051668266099,-4.819043514292115,-4.823383866134567,-4.841984947092519
2025-03-19 05:00:00,-2.915187951507887,-3.522582763198551,-4.8407114370358295,-4.836983034168123,-4.833040853318402,-4.849440443959931
2025-03-19 06:00:00,-3.377635847047759,-4.21713436833002,-5.006321091145348,-4.850117755763477,-4.845251546955321,-4.854703188495853
2025-03-19 07:00:00,-3.9478687082438917,-4.571514598077632,-4.945869275401723,-4.863051301858455,-4.854630094846339,-4.861814115849485
2025-03-19 08:00:00,-4.4593593070578486,-4.7328288931995495,-3.488325261328412,-4.8771336699980035,-4.863455088350417,-4.865915918133321
2025-03-19 09:00:00,-4.6712039792666245,-4.942417771432785,-2.0179045149185115,-4.892555101512964,-4.8719159041421625,-4.894316682254409
2025-03-19 10:00:00,-4.871034987244336,-2.9673983810893545,-1.8256457436566376,-4.90537470172602,-4.88688262936157,-4.931033743090178
2025-03-19 11:00:00,-3.7556084233976095,-2.293265283103054,-1.7257907409415898,-4.915569202255417,-4.9028457425514755,-4.979648549176324
2025-03-19 12:00:00,-2.6039013173494725,-2.0542085054858963,-1.6140602318056083,-4.927011434270174,-4.91761841387517,-5.026702473193319
2025-03-19 13:00:00,-2.2490254215845917,-1.9534370117122886,-1.5989302534503014,-4.942713098021968,-4.938951164254357,-5.059303922755645
2025-03-19 14:00:00,-2.084871297762374,-1.9555517806366849,-1.7639887494309143,-4.9634473321405475,-4.963255510009609,-5.091036537433366
2025-03-19 15:00:00,-2.0477728347719393,-2.0452741241962342,-1.8167199934351994,-4.9783045864841595,-4.971957650605703,-5.118934487009002
2025-03-19 16:00:00,-2.096881174974478,-2.21708075180198,-2.030698621062894,-4.993927568844819,-4.977155887334135,-5.151046733263198
2025-03-19 17:00:00,-2.2201795824751827,-2.313238560412996,-2.367381980281861,-5.017650419274695,-4.977188716578964,-5.145116396224794
2025-03-19 18:00:00,-2.366912178771745,-2.5279274928494435,-2.384649595377448,-5.045025695580012,-4.995548668646866,-5.1544597356739015
2025-03-19 19:00:00,-2.486534404693666,-2.880560622136613,-2.3979544480243096,-5.07124482908259,-5.01246915849697,-5.1712614276578845
2025-03-19 20:00:00,-2.72210047272472,-2.9123089666482036,-2.6026231026290345,-5.093236010643034,-5.044899311374065,-5.194305727168098
2025-03-19 21:00:00,-3.0131830549076057,-2.921476871822948,-2.250414778228332,-5.1141023436615125,-5.097837350310098,-5.217199969334167
2025-03-19 22:00:00,-3.0010003187803287,-3.092655293396053,-2.0057969823227992,-5.158681037494667,-5.168812710415254,-5.2509631274263535
2025-03-19 23:00:00,-3.095004771472561,-2.825413536257176,-1.97100273768027,-5.255669087831815,-5.235331333033122,-5.289041397020339
2025-03-20 00:00:00,-3.1904518717977743,-2.522822894771776,-1.853259324918745,-5.339996309616748,-5.283986551190031,-5.324787269707871
2025-03-20 01:00:00,-2.8400958882247385,-2.4440076535686597,-2.1052785182129963,-5.443601709717361,-5.323509481245155,-5.354322572859252
2025-03-20 02:00:00,-2.6265253974198632,-2.3695772010793474,-2.5275639024308383,-5.532673575224412,-5.345683215285002,-5.362378002651424
2025-03-20 03:00:00,-2.5686815798185187,-2.397091484729681,-3.1948268439290217,-5.583295080786343,-5.363998161102897,-5.359132316147064
2025-03-20 04:00:00,-2.494891461025312,-2.7503179999440452,-3.9568725440040717,-5.63938104794325,-5.364619468271176,-5.385214431129044
2025-03-20 05:00:00,-2.547291964062642,-3.128538241975332,-4.816657570577536,-5.688927660018235,-5.3498872734125005,-5.42227171063389
2025-03-20 06:00:00,-2.819836490491385,-3.605348939838577,-5.17622613017651,-5.710067677222527,-5.357357010943183,-5.459080844545513
2025-03-20 07:00:00,-3.2124313210142446,-4.141539200179901,-5.25971868237365,-5.720494097421267,-5.3653141614414,-5.4742693041139265
2025-03-20 08:00:00,-3.6469964089706663,-4.541010407427,-4.950276306728694,-5.746763858770318,-5.364837458479241,-5.483028818053607
2025-03-20 09:00:00,-4.10801067434238,-4.910984717091387,-3.0359432968588713,-5.765583478623513,-5.372146066785046,-5.512638223634053
2025-03-20 10:00:00,-4.475661930909436,-5.053794529477805,-2.360127383026378,-5.787589321519124,-5.408534750388954,-5.548832365464429
2025-03-20 11:00:00,-4.866115937334138,-5.142073108256107,-2.760789743761468,-5.810867573625595,-5.471088681402298,-5.608053488603426
2025-03-20 12:00:00,-5.044827177156121,-4.039393622036572,-2.8657073475583497,-5.831235301960695,-5.527700592597091,-5.672520533519085
2025-03-20 13:00:00,-5.1248487785097305,-2.819934070296288,-2.8663739629309464,-5.842534184362668,-5.549159692530013,-5.646954572222293
2025-03-20 14:00:00,-4.473065763800324,-2.9920750258977074,-2.6759544434155247,-5.8396165281473005,-5.548552005609358,-5.708510104035535
2025-03-20 15:00:00,-3.233110554190481,-3.1460528056386656,-2.4183096351755307,-5.789782428603143,-5.52368228701434,-5.695183462933644
2025-03-20 16:00:00,-3.1223038453505505,-3.2019375143348765,-2.3200279285385603,-5.738274693493266,-5.466780617648779,-5.753597380534699
2025-03-20 17:00:00,-3.21754150598453,-3.2341718957936494,-2.30388219629965,-5.696783824536533,-5.431092090237706,-5.782048769119821
2025-03-20 18:00:00,-3.303201372266998,-3.260451516425752,-2.1640437413437428,-5.665650424205977,-5.446795811181849,-5.806516266162786
2025-03-20 19:00:00,-3.332050860593151,-3.174872895804054,-2.2455980157659945,-5.639091334071006,-5.521281309531845,-5.836727665338002
2025-03-20 20:00:00,-3.3723714159478426,-3.023606461620493,-2.289877672266081,-5.64609736695993,-5.581033348582289,-5.854581167698221
2025-03-20 21:00:00,-3.3892584073318393,-2.859470761167383,-2.582842888160351,-5.687720561070759,-5.642472981482869,-5.872394667195513
2025-03-20 22:00:00,-3.273780155864008,-2.7170592667146347,-3.087780701092386,-5.721570065703112,-5.715568780569944,-5.8868231049416435
2025-03-20 23:00:00,-3.1116781047781648,-2.704061174139028,-2.556472485118447,-5.769812550786544,-5.789655135476471,-5.914050061597529
2025-03-21 00:00:00,-2.932696154975934,-3.019669922736523,-2.5755541078141446,-5.83515135190801,-5.7836855228492965,-5.947740536275159
